category_id,category_name,category_url
20824,Điện gia dụng,https://tiki.vnhttps://tiki.vn/dien-gia-dung/c20824
20766,Bách hóa online,https://tiki.vnhttps://tiki.vn/bach-hoa-online/c20766
21134,Máy Ảnh - Máy Quay Phim,https://tiki.vnhttps://tiki.vn/may-anh-may-quay-phim/c21134
21074,Laptop & Máy Vi Tính,https://tiki.vnhttps://tiki.vn/laptop-may-vi-tinh/c21074
25036,Sản phẩm - thiết bị công nghiệp,https://tiki.vnhttps://tiki.vn/san-pham-thiet-bi-cong-nghiep/c25036
21496,Tivi & Thiết Bị Nghe Nhìn,https://tiki.vnhttps://tiki.vn/tivi-thiet-bi-nghe-nhin/c21496
21054,Điện Thoại - Máy Tính Bảng,https://tiki.vnhttps://tiki.vn/dien-thoai-may-tinh-bang/c21054
8214,Phụ Kiện Điện Thoại và Máy Tính Bảng,https://tiki.vnhttps://tiki.vn/phu-kien-dien-thoai-va-may-tinh-bang/c8214
28670,Phụ kiện máy tính và Laptop,https://tiki.vnhttps://tiki.vn/phu-kien-may-tinh-va-laptop/c28670
8215,Thiết Bị Âm Thanh và Phụ Kiện,https://tiki.vnhttps://tiki.vn/thiet-bi-am-thanh-va-phu-kien/c8215
28432,Thiết Bị Thông Minh và Linh Kiện Điện Tử,https://tiki.vnhttps://tiki.vn/thiet-bi-thong-minh-va-linh-kien-dien-tu/c28432
8039,Thiết Bị Đeo Thông Minh và Phụ Kiện,https://tiki.vnhttps://tiki.vn/thiet-bi-deo-thong-minh-va-phu-kien/c8039
2667,Thiết Bị Chơi Game và Phụ Kiện,https://tiki.vnhttps://tiki.vn/thiet-bi-choi-game-va-phu-kien/c2667
11332,Khóa học,https://tiki.vnhttps://tiki.vn/khoa-hoc/c11332
11319,Du lịch - Khách sạn,https://tiki.vnhttps://tiki.vn/du-lich-khach-san/c11319
11322,Spa & Làm đẹp,https://tiki.vnhttps://tiki.vn/spa-lam-dep/c11322
11334,Dịch vụ khác,https://tiki.vnhttps://tiki.vn/dich-vu-khac/c11334
11313,Nhà hàng - Ăn uống,https://tiki.vnhttps://tiki.vn/nha-hang-an-uong/c11313
11327,Sự kiện - Giải trí,https://tiki.vnhttps://tiki.vn/su-kien-giai-tri/c11327
11326,Nha khoa - Sức khỏe,https://tiki.vnhttps://tiki.vn/nha-khoa-suc-khoe/c11326
13744,Phiếu quà tặng,https://tiki.vnhttps://tiki.vn/phieu-qua-tang/c13744
24832,Phụ kiện - Chăm sóc xe,https://tiki.vnhttps://tiki.vn/phu-kien-cham-soc-xe/c24832
6070,Xe điện,https://tiki.vnhttps://tiki.vn/xe-dien/c6070
8431,Xe đạp,https://tiki.vnhttps://tiki.vn/xe-dap/c8431
8597,Xe máy,https://tiki.vnhttps://tiki.vn/xe-may/c8597
8595,Ô tô,https://tiki.vnhttps://tiki.vn/o-to/c8595
8435,Xe Scooter,https://tiki.vnhttps://tiki.vn/xe-scooter/c8435
17208,"Dịch vụ, lắp đặt",https://tiki.vnhttps://tiki.vn/dich-vu-lap-dat/c17208
316,Sách tiếng Việt,https://tiki.vnhttps://tiki.vn/sach-truyen-tieng-viet/c316
7741,Văn phòng phẩm,https://tiki.vnhttps://tiki.vn/van-phong-pham-qua-luu-niem/c7741
18328,Quà lưu niệm,https://tiki.vnhttps://tiki.vn/qua-luu-niem/c18328
320,English Books,https://tiki.vnhttps://tiki.vn/sach-tieng-anh/c320
26568,Âm thanh & Phụ kiện Tivi,https://tiki.vnhttps://tiki.vn/am-thanh-phu-kien-tivi/c26568
8074,Phụ kiện điện lạnh,https://tiki.vnhttps://tiki.vn/phu-kien-dien-lanh/c8074
2328,Tủ lạnh,https://tiki.vnhttps://tiki.vn/tu-lanh/c2328
3865,Máy lạnh - Máy điều hòa,https://tiki.vnhttps://tiki.vn/may-lanh-may-dieu-hoa/c3865
3862,Máy giặt,https://tiki.vnhttps://tiki.vn/may-giat/c3862
3868,Tủ đông - Tủ mát,https://tiki.vnhttps://tiki.vn/tu-dong-tu-mat/c3868
5015,Tivi,https://tiki.vnhttps://tiki.vn/tivi/c5015
3866,Máy nước nóng,https://tiki.vnhttps://tiki.vn/may-nuoc-nong/c3866
3864,Máy rửa chén,https://tiki.vnhttps://tiki.vn/may-rua-chen/c3864
3863,Máy sấy quần áo,https://tiki.vnhttps://tiki.vn/may-say-quan-ao/c3863
3869,Tủ ướp rượu,https://tiki.vnhttps://tiki.vn/tu-uop-ruou/c3869
6141,Trang phục thể thao nữ,https://tiki.vnhttps://tiki.vn/trang-phuc-the-thao-nu/c6141
6140,Trang phục thể thao nam,https://tiki.vnhttps://tiki.vn/trang-phuc-the-thao-nam/c6140
8428,Đồ dùng dã ngoại,https://tiki.vnhttps://tiki.vn/do-dung-da-ngoai/c8428
6826,Giày thể thao nam,https://tiki.vnhttps://tiki.vn/giay-the-thao-nam/c6826
24306,Phụ kiện thể thao,https://tiki.vnhttps://tiki.vn/phu-kien-the-thao/c24306
24128,Dụng cụ - thiết bị tập thể thao,https://tiki.vnhttps://tiki.vn/dung-cu-thiet-bi-tap-the-thao/c24128
24002,Các môn thể thao khác,https://tiki.vnhttps://tiki.vn/cac-mon-the-thao-khac/c24002
24294,Dụng cụ câu cá,https://tiki.vnhttps://tiki.vn/dung-cu-cau-ca/c24294
8413,Thể thao dưới nước,https://tiki.vnhttps://tiki.vn/the-thao-duoi-nuoc/c8413
4227,Các môn thể thao đồng đội,https://tiki.vnhttps://tiki.vn/the-thao-dong-doi/c4227
8411,Các môn thể thao chơi vợt,https://tiki.vnhttps://tiki.vn/cac-mon-the-thao-choi-vot/c8411
23120,Các môn thể thao đối kháng,https://tiki.vnhttps://tiki.vn/cac-mon-the-thao-doi-khang/c23120
6827,Giày thể thao nữ,https://tiki.vnhttps://tiki.vn/giay-the-thao-nu/c6827
10803,Thực phẩm bổ sung năng lượng,https://tiki.vnhttps://tiki.vn/thuc-pham-bo-sung-nang-luong/c10803
24258,Dụng cụ leo núi,https://tiki.vnhttps://tiki.vn/dung-cu-leo-nui/c24258
1818,"Phụ Kiện Máy Ảnh, Máy Quay",https://tiki.vnhttps://tiki.vn/phu-kien-may-anh-may-quay/c1818
4077,Camera Giám Sát,https://tiki.vnhttps://tiki.vn/camera-giam-sat/c4077
28814,Thiết Bị Ánh Sáng,https://tiki.vnhttps://tiki.vn/thiet-bi-anh-sang/c28814
28834,Camera Hành Trình - Action Camera và Phụ Kiện,https://tiki.vnhttps://tiki.vn/camera-hanh-trinh-action-camera-va-phu-kien/c28834
1840,Balo - Túi Đựng - Bao Da,https://tiki.vnhttps://tiki.vn/balo-tui-dung-bao-da/c1840
28794,Ống Kính - Ống Ngắm,https://tiki.vnhttps://tiki.vn/ong-kinh-ong-ngam/c28794
2757,Ống Kính (Lens),https://tiki.vnhttps://tiki.vn/ong-kinh-lens/c2757
28822,Thiết Bị Quay Phim,https://tiki.vnhttps://tiki.vn/thiet-bi-quay-phim/c28822
8047,Máy Bay Camera và Phụ Kiện,https://tiki.vnhttps://tiki.vn/may-bay-camera-va-phu-kien/c8047
28806,Máy Ảnh,https://tiki.vnhttps://tiki.vn/may-anh/c28806
24088,đèn sưởi,https://tiki.vnhttps://tiki.vn/den-suoi/c24088
1996,bàn ủi hơi nước đứng,https://tiki.vnhttps://tiki.vn/ban-ui-hoi-nuoc-dung/c1996
